Player,Team,FantPos,Age,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,PPR,PosRank,OvRank,Year,adp,draft_pick,draft_year,Experience,Rookie,Soph,Third
DeMarcoMurray,Cowboys,RB,26,16,0.0,0.0,0.0,0.0,0.0,24.5,115.31,0.81,4.0,3.56,26.0,0.0,21.94,1,1.0,2014,14.2,71,2011,3,0,0,0
MarshawnLynch,Seahawks,RB,28,16,0.0,0.0,0.0,0.0,0.0,17.5,81.62,0.81,3.0,2.31,22.94,0.25,18.89,3,3.0,2014,15.9,12,2007,7,0,0,0
AntonioBrown,Steelers,WR,26,16,0.12,0.12,1.25,0.06,0.0,0.25,0.81,0.0,11.31,8.06,106.12,0.81,24.18,1,4.0,2014,18.4,195,2010,4,0,0,0
MattForte,Bears,RB,29,16,0.0,0.0,0.0,0.0,0.0,16.62,64.88,0.38,8.12,6.38,50.5,0.25,21.66,4,5.0,2014,4.2,44,2008,6,0,0,0
EddieLacy,Packers,RB,24,16,0.0,0.0,0.0,0.0,0.0,15.38,71.19,0.56,3.44,2.62,26.69,0.25,17.04,6,7.0,2014,6.2,61,2013,1,0,1,0
JordyNelson,Packers,WR,29,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44,6.12,94.94,0.81,20.49,2,8.0,2014,17.8,36,2008,6,0,0,0
DemaryiusThomas,Broncos,WR,27,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,6.94,101.19,0.69,21.31,3,9.0,2014,6.7,22,2010,4,0,0,0
DezBryant,Cowboys,WR,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,5.5,82.5,1.0,19.75,4,10.0,2014,9.1,24,2010,4,0,0,0
RobGronkowski,Patriots,TE,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73,5.47,74.93,0.8,17.76,1,11.0,2014,29.7,42,2010,4,0,0,0
JamaalCharles,Chiefs,RB,28,15,0.0,0.0,0.0,0.0,0.0,13.73,68.87,0.6,3.93,2.67,19.4,0.33,16.69,7,12.0,2014,2.5,73,2008,6,0,0,0
