Team,PassYPG,RunYPG,TotalYPG,PPG,Year
Broncos,340.2,117.1,457.3,37.9,2013
Eagles,256.9,160.4,417.2,27.6,2013
Packers,266.8,133.5,400.2,26.1,2013
Saints,307.4,92.1,399.4,25.9,2013
Chargers,270.5,122.8,393.3,24.8,2013
Lions,280.1,112.0,392.1,24.7,2013
Patriots,255.4,129.1,384.5,27.8,2013
Bears,267.6,114.2,381.8,27.8,2013
WFT,234.4,135.2,369.7,20.9,2013
Bengals,258.5,109.7,368.2,26.9,2013
Texans,238.3,108.9,347.2,17.2,2013
Cardinals,250.1,96.2,346.4,23.7,2013
Vikings,214.2,130.1,344.2,24.4,2013
Falcons,265.2,77.9,343.1,22.1,2013
Colts,232.8,108.9,341.8,24.4,2013
Cowboys,247.1,94.0,341.1,27.4,2013
Browns,252.9,86.4,339.4,19.2,2013
Seahawks,202.2,136.8,339.0,26.1,2013
Bills,193.9,144.2,338.1,21.2,2013
Steelers,251.1,86.4,337.5,23.7,2013
Chiefs,208.8,128.5,337.2,26.9,2013
Titans,218.5,118.4,336.9,22.6,2013
Raiders,208.8,125.0,333.8,20.1,2013
49ers,186.2,137.6,323.8,25.4,2013
Jets,183.2,134.9,318.1,18.1,2013
Panthers,190.2,126.6,316.8,22.9,2013
Dolphins,222.9,90.0,312.9,19.8,2013
Giants,224.2,83.2,307.5,18.4,2013
Ravens,224.4,83.0,307.4,20.0,2013
Rams,195.3,109.5,304.8,21.8,2013
Jaguars,215.1,78.8,293.8,15.4,2013
Buccaneers,176.2,100.8,277.0,18.0,2013
Saints,297.8,113.6,411.4,25.1,2014
Steelers,301.6,109.5,411.1,27.2,2014
Colts,305.9,100.8,406.6,28.6,2014
Broncos,291.3,111.6,402.9,30.1,2014
Eagles,272.2,124.5,396.8,29.6,2014
Packers,266.3,119.8,386.1,30.4,2014
Cowboys,236.5,147.1,383.6,29.2,2014
Falcons,284.6,93.6,378.2,23.8,2014
Seahawks,203.1,172.6,375.8,24.6,2014
Giants,267.0,100.2,367.2,23.8,2014
Patriots,257.6,107.9,365.5,29.2,2014
Ravens,238.7,126.2,364.9,25.6,2014
WFT,252.9,105.7,358.6,18.8,2014
Dolphins,233.1,117.0,350.1,24.2,2014
Bengals,213.8,134.2,348.0,22.8,2014
Panthers,219.4,127.2,346.7,21.2,2014
Texans,209.5,135.1,344.6,23.2,2014
Chargers,256.1,85.4,341.6,21.8,2014
Lions,251.9,88.9,340.8,20.1,2014
49ers,191.4,136.0,327.4,19.1,2014
Bears,237.0,90.1,327.1,19.9,2014
Jets,184.1,142.5,326.6,17.7,2014
Browns,216.6,108.0,324.6,18.7,2014
Cardinals,238.0,81.8,319.8,19.4,2014
Chiefs,198.9,119.9,318.8,22.1,2014
Bills,225.9,92.6,318.5,21.4,2014
Vikings,202.8,112.8,315.5,20.3,2014
Rams,212.5,102.2,314.7,20.2,2014
Titans,213.2,90.4,303.7,15.9,2014
Buccaneers,206.1,85.9,292.0,17.3,2014
Jaguars,187.6,102.1,289.6,15.6,2014
Raiders,204.7,77.5,282.2,15.8,2014
Cardinals,288.5,119.8,408.3,30.6,2015
Saints,310.6,93.2,403.8,25.5,2015
Steelers,287.7,107.8,395.4,26.4,2015
Seahawks,236.9,141.8,378.6,26.4,2015
Buccaneers,240.8,135.1,375.9,21.4,2015
Patriots,286.7,87.8,374.4,29.1,2015
Falcons,273.7,100.4,374.1,21.2,2015
Giants,271.4,100.6,372.0,26.2,2015
Chargers,286.9,84.9,371.8,20.0,2015
Jets,253.6,116.8,370.3,24.2,2015
Panthers,224.3,142.6,366.9,31.2,2015
Eagles,255.4,108.9,364.4,23.6,2015
Bills,208.9,152.0,360.9,23.7,2015
Ravens,266.9,92.4,359.3,20.5,2015
Bengals,245.2,112.8,358.0,26.2,2015
Broncos,248.1,107.4,355.5,22.2,2015
WFT,255.9,97.9,353.8,24.2,2015
Jaguars,256.8,92.1,348.8,23.5,2015
Texans,239.6,108.2,347.8,21.2,2015
Lions,263.2,83.4,346.7,22.4,2015
Bears,228.8,115.9,344.6,20.9,2015
Cowboys,216.9,118.1,335.1,17.2,2015
Packers,218.9,115.6,334.6,23.0,2015
Raiders,242.4,91.1,333.5,22.4,2015
Browns,236.4,95.6,331.9,17.4,2015
Dolphins,238.2,93.5,331.7,19.4,2015
Chiefs,203.4,127.8,331.2,25.3,2015
Colts,231.5,89.9,321.4,20.8,2015
Vikings,183.0,138.2,321.2,22.8,2015
Titans,218.9,92.8,311.8,18.7,2015
49ers,207.2,96.5,303.8,14.9,2015
Rams,175.3,122.2,297.6,17.5,2015
Saints,317.1,108.9,426.0,29.3,2016
Falcons,295.3,120.5,415.8,33.8,2016
WFT,297.4,106.0,403.4,24.8,2016
Patriots,269.2,117.0,386.2,27.6,2016
Cowboys,226.9,149.8,376.7,26.3,2016
Raiders,253.2,120.1,373.3,26.0,2016
Steelers,262.6,110.0,372.6,24.9,2016
Packers,262.4,106.3,368.8,27.0,2016
Cardinals,258.5,108.2,366.8,26.1,2016
Colts,262.6,101.8,364.4,25.7,2016
Titans,221.3,136.7,358.0,23.8,2016
Seahawks,257.8,99.4,357.2,22.1,2016
Bengals,246.4,110.6,356.9,20.3,2016
Chargers,262.4,94.4,356.8,25.6,2016
Bears,248.1,108.4,356.5,17.4,2016
Bills,189.8,164.4,354.1,24.9,2016
Ravens,256.2,91.4,347.7,21.4,2016
Buccaneers,245.4,101.0,346.4,22.1,2016
Panthers,230.3,113.4,343.7,23.1,2016
Chiefs,233.8,109.2,343.0,24.3,2016
Lions,256.9,81.9,338.8,21.6,2016
Eagles,224.1,113.3,337.4,22.9,2016
Jaguars,233.0,101.9,334.9,19.9,2016
Dolphins,218.8,114.0,332.8,22.7,2016
Giants,242.4,88.2,330.7,19.4,2016
Jets,216.6,112.6,329.2,17.2,2016
Broncos,230.3,92.8,323.1,20.8,2016
Vikings,239.8,75.3,315.1,20.4,2016
Texans,198.5,116.2,314.7,17.4,2016
Browns,204.0,107.0,311.0,16.5,2016
49ers,181.9,126.2,308.1,19.3,2016
Rams,184.4,78.2,262.7,14.0,2016
Patriots,276.1,118.1,394.2,28.6,2017
Saints,261.8,129.4,391.2,28.0,2017
Steelers,273.8,104.2,377.9,25.4,2017
Chargers,276.9,99.7,376.6,22.2,2017
Chiefs,256.5,118.9,375.4,25.9,2017
Jaguars,224.6,141.4,365.9,26.1,2017
Eagles,233.6,132.2,365.8,28.6,2017
Falcons,249.4,115.4,364.8,22.1,2017
Buccaneers,272.9,90.6,363.5,20.9,2017
Rams,239.4,122.1,361.5,29.9,2017
Vikings,234.6,122.3,356.9,23.9,2017
49ers,245.3,103.9,349.2,20.7,2017
Lions,261.4,76.3,337.8,25.6,2017
Cowboys,196.3,135.6,331.9,22.1,2017
Seahawks,228.6,101.8,330.4,22.9,2017
WFT,234.4,90.5,324.9,21.4,2017
Broncos,208.3,115.8,324.1,18.1,2017
Raiders,226.9,97.1,324.1,18.8,2017
Panthers,192.3,131.4,323.7,22.7,2017
Texans,204.9,115.1,320.0,21.1,2017
Giants,217.4,96.8,314.2,15.4,2017
Cardinals,227.5,86.6,314.1,18.4,2017
Titans,199.4,114.6,314.0,20.9,2017
Browns,201.8,107.1,308.9,14.6,2017
Dolphins,220.9,86.8,307.7,17.6,2017
Packers,197.9,107.8,305.7,20.0,2017
Ravens,189.4,116.0,305.4,24.7,2017
Jets,198.9,106.4,305.2,18.6,2017
Bills,176.6,126.1,302.6,18.9,2017
Bears,175.7,111.8,287.4,16.5,2017
Colts,180.8,103.8,284.6,16.4,2017
Bengals,195.1,85.4,280.5,18.1,2017
Chiefs,309.7,115.9,425.6,35.3,2018
Rams,281.7,139.4,421.1,32.9,2018
Buccaneers,320.3,95.2,415.5,24.8,2018
Steelers,313.0,90.3,403.3,26.8,2018
Patriots,266.1,127.3,393.4,27.2,2018
Falcons,290.8,98.3,389.1,25.9,2018
Colts,278.8,107.4,386.2,27.1,2018
Saints,252.6,126.6,379.2,31.5,2018
Ravens,222.4,152.6,374.9,24.3,2018
Panthers,239.8,133.5,373.2,23.5,2018
Chargers,255.6,117.1,372.6,26.8,2018
Packers,264.9,104.2,369.1,23.5,2018
Browns,250.4,118.3,368.8,22.4,2018
Eagles,267.2,98.1,365.3,22.9,2018
Texans,236.3,126.3,362.6,25.1,2018
49ers,241.7,118.9,360.6,21.4,2018
Giants,252.9,103.1,356.1,23.1,2018
Seahawks,193.3,160.0,353.3,26.8,2018
Broncos,230.9,119.2,350.1,20.6,2018
Vikings,252.2,93.3,345.6,22.5,2018
Bears,222.8,121.1,343.9,26.3,2018
Cowboys,221.1,122.7,343.8,21.2,2018
Raiders,234.4,101.8,336.2,18.1,2018
Lions,223.5,103.8,327.2,20.2,2018
Titans,185.9,126.4,312.4,19.4,2018
Bengals,205.6,105.1,310.8,23.0,2018
Jaguars,194.3,107.7,302.0,15.3,2018
WFT,188.8,110.9,299.7,17.6,2018
Jets,197.8,101.4,299.2,20.8,2018
Bills,174.6,124.0,298.6,16.8,2018
Dolphins,181.2,108.6,289.9,19.9,2018
Cardinals,157.7,83.9,241.6,14.1,2018
Cowboys,296.9,134.6,431.5,27.1,2019
Ravens,201.6,206.0,407.6,33.2,2019
Buccaneers,302.8,95.1,397.9,28.6,2019
49ers,237.0,144.1,381.1,29.9,2019
Falcons,294.6,85.1,379.7,23.8,2019
Chiefs,281.1,98.1,379.2,28.2,2019
Rams,281.2,93.7,374.9,24.6,2019
Seahawks,236.9,137.5,374.4,25.3,2019
Saints,265.2,108.6,373.9,28.6,2019
Chargers,276.6,90.8,367.4,21.1,2019
Raiders,245.4,118.3,363.7,19.6,2019
Titans,223.9,138.9,362.8,25.1,2019
Texans,236.4,125.6,362.0,23.6,2019
Eagles,239.6,121.2,360.8,24.1,2019
Patriots,247.6,106.4,354.0,26.2,2019
Vikings,220.2,133.3,353.5,25.4,2019
Lions,243.8,103.1,346.8,21.3,2019
Packers,233.3,112.2,345.5,23.5,2019
Panthers,228.1,113.7,341.8,21.2,2019
Jaguars,235.0,106.8,341.8,18.8,2019
Cardinals,217.3,124.4,341.7,22.6,2019
Browns,222.1,118.8,340.9,20.9,2019
Giants,233.2,105.3,338.5,21.3,2019
Bills,201.8,128.4,330.2,19.6,2019
Colts,194.2,133.1,327.4,22.6,2019
Bengals,228.2,94.8,323.1,17.4,2019
Dolphins,237.8,72.2,310.0,19.1,2019
Broncos,194.7,103.9,298.6,17.6,2019
Bears,205.7,91.1,296.8,17.5,2019
Steelers,186.3,90.4,276.8,18.1,2019
WFT,175.8,98.9,274.7,16.6,2019
Jets,194.4,78.6,273.0,17.2,2019
Chiefs,303.4,112.4,415.8,29.6,2020
Bills,288.8,107.7,396.4,31.3,2020
Titans,228.3,168.1,396.4,30.7,2020
Vikings,250.6,142.7,393.2,26.9,2020
Packers,256.6,132.4,389.0,31.8,2020
Cardinals,244.8,139.8,384.6,25.6,2020
Buccaneers,289.1,94.9,384.1,30.8,2020
Raiders,263.6,119.8,383.3,27.1,2020
Chargers,270.6,111.5,382.1,24.0,2020
Colts,253.3,124.8,378.1,28.2,2020
Rams,250.9,126.1,377.0,23.2,2020
Saints,234.9,141.6,376.4,30.1,2020
Texans,283.6,91.6,375.2,24.0,2020
Cowboys,260.1,111.8,371.8,24.7,2020
49ers,252.1,118.1,370.1,23.5,2020
Browns,221.2,148.4,369.6,25.5,2020
Seahawks,246.3,123.2,369.5,28.7,2020
Falcons,272.7,95.8,368.4,24.8,2020
Ravens,171.2,191.9,363.1,29.2,2020
Lions,256.5,93.7,350.2,23.6,2020
Panthers,243.0,106.5,349.5,21.9,2020
Dolphins,233.5,105.5,339.0,25.2,2020
Broncos,215.7,119.9,335.6,20.2,2020
Eagles,207.9,126.7,334.6,20.9,2020
Steelers,250.2,84.4,334.6,26.0,2020
Bears,228.4,102.9,331.4,23.2,2020
Patriots,180.6,146.6,327.2,20.4,2020
Jaguars,231.2,94.9,326.1,19.1,2020
Bengals,215.5,104.2,319.8,19.4,2020
WFT,216.6,100.7,317.2,20.9,2020
Giants,189.1,110.5,299.6,17.5,2020
Jets,174.8,105.2,279.9,15.2,2020
Cowboys,282.4,124.6,407.0,31.2,2021
Buccaneers,307.6,98.4,405.9,30.1,2021
Chiefs,281.8,115.0,396.8,28.2,2021
Chargers,282.4,107.9,390.2,27.9,2021
Bills,252.0,129.9,381.9,28.4,2021
Ravens,233.0,145.8,378.8,22.8,2021
49ers,248.3,127.4,375.7,25.1,2021
Cardinals,251.5,122.1,373.6,26.4,2021
Rams,273.1,99.0,372.1,27.1,2021
Packers,253.8,111.8,365.6,26.5,2021
Raiders,268.6,95.1,363.8,22.0,2021
Vikings,249.3,113.5,362.8,25.0,2021
Bengals,259.0,102.5,361.5,27.1,2021
Eagles,200.2,159.7,359.9,26.1,2021
Patriots,226.9,126.5,353.4,27.2,2021
Colts,197.7,149.4,347.1,26.5,2021
Titans,201.1,141.4,342.5,24.6,2021
Browns,195.3,145.4,340.6,20.5,2021
Broncos,211.4,119.1,330.5,19.7,2021
Seahawks,201.9,122.0,323.9,23.2,2021
WFT,202.4,121.2,323.6,19.7,2021
Lions,211.6,110.9,322.6,19.1,2021
Steelers,222.2,93.1,315.4,20.2,2021
Bears,188.6,118.7,307.4,18.3,2021
Dolphins,214.8,92.2,307.0,20.1,2021
Jets,208.3,98.1,306.4,18.2,2021
Jaguars,202.1,103.2,305.4,14.9,2021
Saints,187.4,117.1,304.5,21.4,2021
Falcons,218.4,85.4,303.8,18.4,2021
Panthers,190.5,108.4,298.9,17.9,2021
Giants,188.0,99.3,287.3,15.2,2021
Texans,194.4,83.6,278.1,16.5,2021
